#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -      m
2011 03 11 15 15 00 1 9999.000
2011 03 11 15 14 00 2 5465.654
2011 03 11 15 13 00 2 5465.668
2011 03 11 15 12 00 2 5465.697
2011 03 11 15 11 00 2 5465.687
2011 03 11 15 10 00 2 5465.670
2011 03 11 15 09 00 2 5465.686
2011 03 11 15 08 00 2 5465.702
2011 03 11 15 07 00 2 5465.730
2011 03 11 15 06 00 2 5465.755
2011 03 11 15 05 00 2 5465.732
2011 03 11 15 04 00 2 5465.707
2011 03 11 15 03 00 2 5465.688
2011 03 11 15 02 00 2 5465.653
2011 03 11 15 01 00 2 5465.664
2011 03 11 15 00 00 2 5465.666
2011 03 11 15 00 00 1 9999.000
2011 03 11 14 59 00 2 5465.646
2011 03 11 14 58 00 2 5465.656
2011 03 11 14 57 00 2 5465.657
2011 03 11 14 56 00 2 5465.662
2011 03 11 14 55 00 2 5465.677
2011 03 11 14 54 00 2 5465.665
2011 03 11 14 53 00 2 5465.664
2011 03 11 14 52 00 2 5465.709
2011 03 11 14 51 00 2 5465.696
2011 03 11 14 50 00 2 5465.683
2011 03 11 14 49 00 2 5465.689
2011 03 11 14 48 00 2 5465.696
2011 03 11 14 47 00 2 5465.719
2011 03 11 14 46 00 2 5465.716
2011 03 11 14 45 00 2 5465.686
2011 03 11 14 45 00 1 9999.000
2011 03 11 14 44 00 2 5465.675
2011 03 11 14 43 00 2 5465.678
2011 03 11 14 42 00 2 5465.683
2011 03 11 14 41 00 2 5465.692
2011 03 11 14 40 00 2 5465.709
2011 03 11 14 39 00 2 5465.703
2011 03 11 14 38 00 2 5465.684
2011 03 11 14 37 00 2 5465.706
2011 03 11 14 36 00 2 5465.689
2011 03 11 14 35 00 2 5465.666
2011 03 11 14 34 00 2 5465.699
2011 03 11 14 33 00 2 5465.696
2011 03 11 14 32 00 2 5465.694
2011 03 11 14 31 00 2 5465.707
2011 03 11 14 30 00 2 5465.674
2011 03 11 14 30 00 1 9999.000
2011 03 11 14 29 00 2 5465.675
2011 03 11 14 28 00 2 5465.701
2011 03 11 14 27 00 2 5465.683
2011 03 11 14 26 00 2 5465.674
2011 03 11 14 25 00 2 5465.685
2011 03 11 14 24 00 2 5465.674
2011 03 11 14 23 00 2 5465.671
2011 03 11 14 22 00 2 5465.671
2011 03 11 14 21 00 2 5465.662
2011 03 11 14 20 00 2 5465.662
2011 03 11 14 19 00 2 5465.669
2011 03 11 14 18 00 2 5465.683
2011 03 11 14 17 00 2 5465.649
2011 03 11 14 16 00 2 5465.640
2011 03 11 14 15 00 2 5465.694
2011 03 11 14 15 00 1 9999.000
2011 03 11 14 14 00 2 5465.697
2011 03 11 14 13 00 2 5465.690
2011 03 11 14 12 00 2 5465.704
2011 03 11 14 11 00 2 5465.647
2011 03 11 14 10 00 2 5465.624
2011 03 11 14 09 00 2 5465.634
2011 03 11 14 08 00 2 5465.633
2011 03 11 14 07 00 2 5465.601
2011 03 11 14 06 00 2 5465.598
2011 03 11 14 05 00 2 5465.608
2011 03 11 14 04 00 2 5465.616
2011 03 11 14 03 00 2 5465.600
2011 03 11 14 02 00 2 5465.604
2011 03 11 14 01 00 2 5465.630
2011 03 11 14 00 00 2 5465.636
2011 03 11 14 00 00 1 9999.000
2011 03 11 13 59 00 2 5465.644
2011 03 11 13 58 00 2 5465.652
2011 03 11 13 57 00 2 5465.661
2011 03 11 13 56 00 2 5465.672
2011 03 11 13 55 00 2 5465.662
2011 03 11 13 54 00 2 5465.652
2011 03 11 13 53 00 2 5465.658
2011 03 11 13 52 00 2 5465.652
2011 03 11 13 51 00 2 5465.678
2011 03 11 13 50 00 2 5465.689
2011 03 11 13 49 00 2 5465.671
2011 03 11 13 48 00 2 5465.681
2011 03 11 13 47 00 2 5465.679
2011 03 11 13 46 00 2 5465.671
2011 03 11 13 45 00 2 5465.658
2011 03 11 13 45 00 1 9999.000
2011 03 11 13 44 00 2 5465.659
2011 03 11 13 43 00 2 5465.673
2011 03 11 13 42 00 2 5465.684
2011 03 11 13 41 00 2 5465.677
2011 03 11 13 40 00 2 5465.650
2011 03 11 13 39 00 2 5465.662
2011 03 11 13 38 00 2 5465.651
2011 03 11 13 37 00 2 5465.649
2011 03 11 13 36 00 2 5465.661
2011 03 11 13 35 00 2 5465.645
2011 03 11 13 34 00 2 5465.649
2011 03 11 13 33 00 2 5465.674
2011 03 11 13 32 00 2 5465.676
2011 03 11 13 31 00 2 5465.665
2011 03 11 13 30 00 2 5465.647
2011 03 11 13 30 00 1 9999.000
2011 03 11 13 29 00 2 5465.653
2011 03 11 13 28 00 2 5465.634
2011 03 11 13 27 00 2 5465.608
2011 03 11 13 26 00 2 5465.618
2011 03 11 13 25 00 2 5465.625
2011 03 11 13 24 00 2 5465.612
2011 03 11 13 23 00 2 5465.624
2011 03 11 13 22 00 2 5465.660
2011 03 11 13 21 00 2 5465.648
2011 03 11 13 20 00 2 5465.660
2011 03 11 13 19 00 2 5465.697
2011 03 11 13 18 00 2 5465.645
2011 03 11 13 17 00 2 5465.638
2011 03 11 13 16 00 2 5465.656
2011 03 11 13 15 00 2 5465.637
2011 03 11 13 15 00 1 9999.000
2011 03 11 13 14 00 2 5465.675
2011 03 11 13 13 00 2 5465.694
2011 03 11 13 12 00 2 5465.679
2011 03 11 13 11 00 2 5465.690
2011 03 11 13 10 00 2 5465.689
2011 03 11 13 09 00 2 5465.682
2011 03 11 13 08 00 2 5465.692
2011 03 11 13 07 00 2 5465.687
2011 03 11 13 06 00 2 5465.648
2011 03 11 13 05 00 2 5465.631
2011 03 11 13 04 00 2 5465.660
2011 03 11 13 03 00 2 5465.635
2011 03 11 13 02 00 2 5465.624
2011 03 11 13 01 00 2 5465.633
2011 03 11 13 00 00 2 5465.594
2011 03 11 13 00 00 1 9999.000
2011 03 11 12 59 00 2 5465.614
2011 03 11 12 58 00 2 5465.605
2011 03 11 12 57 00 2 5465.543
2011 03 11 12 56 00 2 5465.583
2011 03 11 12 55 00 2 5465.621
2011 03 11 12 54 00 2 5465.605
2011 03 11 12 53 00 2 5465.611
2011 03 11 12 52 00 2 5465.610
2011 03 11 12 51 00 2 5465.621
2011 03 11 12 50 00 2 5465.618
2011 03 11 12 49 00 2 5465.644
2011 03 11 12 48 00 2 5465.662
2011 03 11 12 47 00 2 5465.605
2011 03 11 12 46 00 2 5465.608
2011 03 11 12 45 00 2 5465.605
2011 03 11 12 45 00 1 9999.000
2011 03 11 12 44 00 2 5465.554
2011 03 11 12 43 00 2 5465.574
2011 03 11 12 42 00 2 5465.622
2011 03 11 12 41 00 2 5465.605
2011 03 11 12 40 00 2 5465.627
2011 03 11 12 39 00 2 5465.632
2011 03 11 12 38 00 2 5465.585
2011 03 11 12 37 00 2 5465.620
2011 03 11 12 36 00 2 5465.618
2011 03 11 12 35 00 2 5465.619
2011 03 11 12 34 00 2 5465.626
2011 03 11 12 33 00 2 5465.610
2011 03 11 12 32 00 2 5465.641
2011 03 11 12 31 00 2 5465.638
2011 03 11 12 30 00 2 5465.589
2011 03 11 12 30 00 1 9999.000
2011 03 11 12 29 00 2 5465.596
2011 03 11 12 28 00 2 5465.616
2011 03 11 12 27 00 2 5465.548
2011 03 11 12 26 00 2 5465.596
2011 03 11 12 25 00 2 5465.642
2011 03 11 12 24 00 2 5465.599
2011 03 11 12 23 00 2 5465.614
2011 03 11 12 22 00 2 5465.616
2011 03 11 12 21 00 2 5465.637
2011 03 11 12 20 00 2 5465.686
2011 03 11 12 19 00 2 5465.662
2011 03 11 12 18 00 2 5465.591
2011 03 11 12 17 00 2 5465.613
2011 03 11 12 16 00 2 5465.624
2011 03 11 12 15 00 2 5465.617
2011 03 11 12 15 00 1 9999.000
2011 03 11 12 14 00 2 5465.628
2011 03 11 12 13 00 2 5465.562
2011 03 11 12 12 00 2 5465.567
2011 03 11 12 11 00 2 5465.608
2011 03 11 12 10 00 2 5465.592
2011 03 11 12 09 00 2 5465.566
2011 03 11 12 08 00 2 5465.577
2011 03 11 12 07 00 2 5465.601
2011 03 11 12 06 00 2 5465.552
2011 03 11 12 05 00 2 5465.564
2011 03 11 12 04 00 2 5465.607
2011 03 11 12 03 00 2 5465.594
2011 03 11 12 02 00 2 5465.618
2011 03 11 12 01 00 2 5465.623
2011 03 11 12 00 00 2 5465.595
2011 03 11 12 00 00 1 9999.000
2011 03 11 11 59 00 2 5465.604
2011 03 11 11 58 00 2 5465.637
2011 03 11 11 57 00 2 5465.615
2011 03 11 11 56 00 2 5465.583
2011 03 11 11 55 00 2 5465.605
2011 03 11 11 54 00 2 5465.596
2011 03 11 11 53 00 2 5465.587
2011 03 11 11 52 00 2 5465.616
2011 03 11 11 51 00 2 5465.619
2011 03 11 11 50 00 2 5465.604
2011 03 11 11 49 00 2 5465.598
2011 03 11 11 48 00 2 5465.603
2011 03 11 11 47 00 2 5465.617
2011 03 11 11 46 00 2 5465.615
2011 03 11 11 45 00 2 5465.617
2011 03 11 11 45 00 1 9999.000
2011 03 11 11 44 00 2 5465.617
2011 03 11 11 43 00 2 5465.612
2011 03 11 11 42 00 2 5465.630
2011 03 11 11 41 00 2 5465.635
2011 03 11 11 40 00 2 5465.596
2011 03 11 11 39 00 2 5465.567
2011 03 11 11 38 00 2 5465.585
2011 03 11 11 37 00 2 5465.598
2011 03 11 11 36 00 2 5465.598
2011 03 11 11 35 00 2 5465.619
2011 03 11 11 34 00 2 5465.620
2011 03 11 11 33 00 2 5465.596
2011 03 11 11 32 00 2 5465.590
2011 03 11 11 31 00 2 5465.589
2011 03 11 11 30 00 2 5465.572
2011 03 11 11 30 00 1 9999.000
2011 03 11 11 29 00 2 5465.566
2011 03 11 11 28 00 2 5465.576
2011 03 11 11 27 00 2 5465.565
2011 03 11 11 26 00 2 5465.557
2011 03 11 11 25 00 2 5465.593
2011 03 11 11 24 00 2 5465.598
2011 03 11 11 23 00 2 5465.586
2011 03 11 11 22 00 2 5465.615
2011 03 11 11 21 00 2 5465.592
2011 03 11 11 20 00 2 5465.541
2011 03 11 11 19 00 2 5465.546
2011 03 11 11 18 00 2 5465.545
2011 03 11 11 17 00 2 5465.542
2011 03 11 11 16 00 2 5465.577
2011 03 11 11 15 00 2 5465.592
2011 03 11 11 15 00 1 9999.000
2011 03 11 11 14 00 2 5465.565
2011 03 11 11 13 00 2 5465.536
2011 03 11 11 12 00 2 5465.546
2011 03 11 11 11 00 2 5465.533
2011 03 11 11 10 00 2 5465.461
2011 03 11 11 09 00 2 5465.468
2011 03 11 11 08 00 2 5465.539
2011 03 11 11 07 00 2 5465.543
2011 03 11 11 06 00 2 5465.553
2011 03 11 11 05 00 2 5465.583
2011 03 11 11 04 00 2 5465.582
2011 03 11 11 03 00 2 5465.605
2011 03 11 11 02 00 2 5465.594
2011 03 11 11 01 00 2 5465.527
2011 03 11 11 00 00 2 5465.527
2011 03 11 11 00 00 1 9999.000
2011 03 11 10 59 00 2 5465.549
2011 03 11 10 58 00 2 5465.520
2011 03 11 10 57 00 2 5465.522
2011 03 11 10 56 00 2 5465.539
2011 03 11 10 55 00 2 5465.548
2011 03 11 10 54 00 2 5465.616
2011 03 11 10 53 00 2 5465.642
2011 03 11 10 52 00 2 5465.571
2011 03 11 10 51 00 2 5465.535
2011 03 11 10 50 00 2 5465.549
2011 03 11 10 49 00 2 5465.556
2011 03 11 10 48 00 2 5465.599
2011 03 11 10 47 00 2 5465.630
2011 03 11 10 46 00 2 5465.595
2011 03 11 10 45 00 2 5465.573
2011 03 11 10 45 00 1 9999.000
2011 03 11 10 44 00 2 5465.595
2011 03 11 10 43 00 2 5465.606
