Model Comment
Strike: 202.00 Dip: 12.00 HypocenterDepth: 25.95
RuptureSpeed: 0.00
nx: 40 xMin: -0.00 xMax: 600.00
ny: 14 yMin: -0.00 yMax: 210.00
MomentScaleFactor: 1.0e19 N-m
minMoment: 0.000 maxMoment: 31.910
TotalMoment: 3635.947 Mw: 8.98
minDelayTime: 0.000 maxDelayTime: 0.000
nTimeStepsPerSubFault: 1 BasisTFtnDuration: 0.00
Trupture(s) X Y Lon Lat Depth Mo(DS) Mo(SS) Mo(total) Rake Duration(s)
191.4 405.00  75.00   141.531   34.644   10.4    0.000    0.000    0.000     0  40.0
102.6 -180.00  60.00   143.765   39.596   13.5    2.326    0.204    2.335    85  40.0
 96.9 -165.00  60.00   143.699   39.471   13.5    0.690    0.060    0.693    85  40.0
 91.3 -150.00  60.00   143.634   39.346   13.5    1.162    0.102    1.166    85  40.0
 85.8 -135.00  60.00   143.569   39.221   13.5    2.027    0.177    2.035    85  40.0
 80.3 -120.00  60.00   143.504   39.095   13.5    3.896    0.341    3.911    85  40.0
 75.0 -105.00  60.00   143.440   38.970   13.5    6.617    0.579    6.643    85  40.0
 69.9 -90.00  60.00   143.376   38.845   13.5   10.854    0.950   10.895    85  28.0
 64.0 -75.00  60.00   143.312   38.720   13.5   14.551    1.273   14.607    85  24.0
 56.6 -60.00  60.00   143.248   38.594   13.5   19.251    1.684   19.324    85  36.0
 50.0 -45.00  60.00   143.184   38.469   13.5   23.305    2.039   23.394    85  40.0
 44.7 -30.00  60.00   143.121   38.343   13.5   27.191    2.379   27.295    85  40.0
 41.2 -15.00  60.00   143.057   38.218   13.5   29.639    2.593   29.752    85  40.0
 40.0   0.00  60.00   142.994   38.093   13.5   30.878    2.701   30.996    85  36.0
 41.2  15.00  60.00   142.932   37.967   13.5   29.713    2.600   29.826    85  28.0
 44.7  30.00  60.00   142.869   37.841   13.5   28.800    2.520   28.910    85  32.0
 50.0  45.00  60.00   142.807   37.716   13.5   26.655    2.332   26.757    85  28.0
 56.6  60.00  60.00   142.745   37.590   13.5   24.571    2.150   24.665    85  28.0
 64.0  75.00  60.00   142.683   37.465   13.5   23.289    2.037   23.378    85  20.0
 69.9  90.00  60.00   142.621   37.339   13.5   21.812    1.908   21.895    85  24.0
 75.0 105.00  60.00   142.560   37.213   13.5   19.596    1.714   19.671    85  40.0
 80.3 120.00  60.00   142.498   37.087   13.5   17.548    1.535   17.615    85  40.0
 85.8 135.00  60.00   142.437   36.962   13.5   15.280    1.337   15.338    85  40.0
 91.3 150.00  60.00   142.376   36.836   13.5   12.852    1.124   12.901    85  40.0
 96.9 165.00  60.00   142.316   36.710   13.5   10.996    0.962   11.038    85  40.0
102.6 180.00  60.00   142.255   36.584   13.5    9.623    0.842    9.660    85  40.0
108.3 195.00  60.00   142.195   36.458   13.5    7.226    0.632    7.253    85  40.0
114.0 210.00  60.00   142.135   36.332   13.5    5.670    0.496    5.691    85  40.0
119.8 225.00  60.00   142.075   36.206   13.5    4.171    0.365    4.186    85  40.0
125.6 240.00  60.00   142.015   36.080   13.5    3.709    0.324    3.723    85  40.0
131.5 255.00  60.00   141.956   35.954   13.5    3.458    0.303    3.471    85  28.0
137.3 270.00  60.00   141.896   35.828   13.5    3.064    0.268    3.076    85  28.0
143.2 285.00  60.00   141.837   35.702   13.5    2.249    0.197    2.258    85  24.0
149.0 300.00  60.00   141.778   35.576   13.5    1.130    0.099    1.134    85  36.0
154.9 315.00  60.00   141.719   35.450   13.5    0.035    0.003    0.035    85  36.0
160.8 330.00  60.00   141.661   35.324   13.5    0.011    0.001    0.011    85  40.0
166.7 345.00  60.00   141.602   35.198   13.5    0.000    0.000    0.000     0  40.0
172.7 360.00  60.00   141.544   35.072   13.5    0.005    0.000    0.005    85  40.0
178.6 375.00  60.00   141.486   34.945   13.5    0.000    0.000    0.000     0  40.0
184.5 390.00  60.00   141.428   34.819   13.5    0.012    0.001    0.012    85  40.0
190.4 405.00  60.00   141.371   34.693   13.5    0.011    0.001    0.011    85  40.0
100.9 -180.00  45.00   143.606   39.644   16.6    1.330    0.116    1.335    85  40.0
 95.1 -165.00  45.00   143.540   39.519   16.6    0.448    0.039    0.450    85  40.0
 89.3 -150.00  45.00   143.475   39.394   16.6    1.593    0.139    1.599    85  40.0
 83.6 -135.00  45.00   143.410   39.269   16.6    3.631    0.318    3.644    85  40.0
 77.9 -120.00  45.00   143.345   39.144   16.6    5.395    0.472    5.415    85  40.0
 72.4 -105.00  45.00   143.280   39.019   16.6    8.464    0.741    8.497    85  20.0
 66.9 -90.00  45.00   143.216   38.893   16.6   12.412    1.086   12.459    85  20.0
 58.3 -75.00  45.00   143.152   38.768   16.6   15.005    1.313   15.063    85  24.0
 50.0 -60.00  45.00   143.088   38.643   16.6   18.751    1.641   18.823    85  36.0
 42.4 -45.00  45.00   143.024   38.517   16.6   22.757    1.991   22.844    85  40.0
 36.1 -30.00  45.00   142.961   38.392   16.6   26.259    2.297   26.360    85  40.0
 31.6 -15.00  45.00   142.898   38.266   16.6   28.916    2.530   29.026    85  40.0
 30.0   0.00  45.00   142.835   38.141   16.6   30.204    2.642   30.319    85  24.0
 31.6  15.00  45.00   142.772   38.015   16.6   30.876    2.701   30.994    85  28.0
 36.1  30.00  45.00   142.709   37.890   16.6   31.267    2.736   31.387    85  28.0
 42.4  45.00  45.00   142.647   37.764   16.6   30.447    2.664   30.563    85  36.0
 50.0  60.00  45.00   142.585   37.639   16.6   29.272    2.561   29.384    85  36.0
 58.3  75.00  45.00   142.523   37.513   16.6   28.133    2.461   28.240    85  28.0
 66.9  90.00  45.00   142.461   37.387   16.6   27.667    2.421   27.772    85  20.0
 72.4 105.00  45.00   142.399   37.262   16.6   24.756    2.166   24.851    85  20.0
 77.9 120.00  45.00   142.338   37.136   16.6   22.716    1.987   22.803    85  40.0
 83.6 135.00  45.00   142.277   37.010   16.6   19.883    1.740   19.959    85  40.0
 89.3 150.00  45.00   142.216   36.884   16.6   17.090    1.495   17.155    85  40.0
 95.1 165.00  45.00   142.155   36.759   16.6   14.176    1.240   14.230    85  40.0
100.9 180.00  45.00   142.095   36.633   16.6   11.117    0.973   11.159    85  40.0
106.7 195.00  45.00   142.035   36.507   16.6    9.403    0.823    9.438    85  40.0
112.6 210.00  45.00   141.974   36.381   16.6    7.126    0.623    7.154    85  40.0
118.4 225.00  45.00   141.914   36.255   16.6    4.573    0.400    4.591    85  40.0
124.3 240.00  45.00   141.855   36.129   16.6    4.038    0.353    4.053    85  40.0
130.2 255.00  45.00   141.795   36.003   16.6    3.361    0.294    3.374    85  28.0
136.2 270.00  45.00   141.736   35.877   16.6    2.081    0.182    2.089    85  24.0
142.1 285.00  45.00   141.677   35.751   16.6    0.911    0.080    0.915    85  24.0
